delta,month,measure,quintile,ew_ret,vw_ret,n_obs
0.9,2026-02,STV,4,0.011522879263731833,0.006911559768633396,29
0.9,2026-02,STV,5,-0.00436411115294556,-0.002067711838600263,30
0.9,2026-03,STR,1,0.47940161736051934,0.028809777443391395,30
0.9,2026-03,STR,2,0.11519623011610465,0.08835677741174337,30
0.9,2026-03,STR,3,0.059504302829902087,0.06393714080504495,29
0.9,2026-03,STR,4,0.0638036009792028,0.009254911570573827,30
0.9,2026-03,STR,5,0.20393070182324463,0.04947745540071482,30
0.9,2026-03,STV,1,-0.0035976865397997493,0.03534225751183058,30
0.9,2026-03,STV,2,0.0728998756903112,-0.0011600550906743473,30
0.9,2026-03,STV,3,0.15823979295575877,0.031364651498825516,29
0.9,2026-03,STV,4,0.5449641616976056,0.15387988509952896,30
0.9,2026-03,STV,5,0.15262149230929278,0.09626440021886548,30
0.9,2026-04,STR,1,0.11096097981590573,0.1570927294995569,30
0.9,2026-04,STR,2,0.013228654755507203,-0.036278151285829396,30
0.9,2026-04,STR,3,0.02019347359214884,-0.005643260732179306,30
0.9,2026-04,STR,4,0.06927302487033228,-0.019917319031104483,30
0.9,2026-04,STR,5,0.5403624335184134,0.19442181458783453,30
0.9,2026-04,STV,1,0.06143537084112268,-0.008733501031958055,30
0.9,2026-04,STV,2,0.4645798297197668,0.0430794931498009,30
0.9,2026-04,STV,3,0.10507991437439683,0.016205286818967286,30
0.9,2026-04,STV,4,0.0968842029629457,0.11958630259301918,30
0.9,2026-04,STV,5,0.026039248654075316,-0.03248960666431396,30
0.9,2026-05,STR,1,-0.09067790439943892,-0.14908993825969397,30
0.9,2026-05,STR,2,-0.017098005616840363,-0.10278592627982555,30
0.9,2026-05,STR,3,-0.08688267180442487,-0.12262549726856545,30
0.9,2026-05,STR,4,-0.12360971477785711,-0.1339679663545567,30
0.9,2026-05,STR,5,0.16107445435061932,-0.10706376462979107,30
0.9,2026-05,STV,1,-0.08355705021840124,-0.09969346013587556,30
0.9,2026-05,STV,2,-0.06611344260222156,-0.09501481088746387,30
0.9,2026-05,STV,3,0.08114993859702992,-0.06924132580157381,30
0.9,2026-05,STV,4,-0.03835247838936955,-0.03578460597500059,30
0.9,2026-05,STV,5,-0.05032080963497949,-0.12313646187750599,30
